playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR
102597,Will Rogers,QB,Washington,Big Ten,311,,34,220,,,5,7,,20,2,,0.707,0,,0,1,0,1,,0140,0,1,,,2458-79,7.9,-2.3,,
107494,Trey Sanders,RB,TCU,Big 12,,,13,,,,1,,,12,0,,,0,,0,0,0,1,,00,0,1,,,46,,3.5,,
146583,John Adams,WR,Temple,American Athletic,,0.0,3,,,,,,,0354,,1,,0,,0,16,0,3,,1110,0,4,,,01949,,3.0,,12.1
184812,Calvin Moore,CB,Cal Poly,Big Sky,,,,,,,,,,8,,,,0,,0,1,0,0,,00,0,1,,,8,,,,8.0
2094390,Michael Dansby,DB,San José State,Mountain West,,0.5,,,,,,2,,,,,,6,,0,,0,30,,00,0.5,37,,,1,,,,
233186,Josh Jenkins,QB,Holy Cross,Patriot,1,,,0,,,,1,,,,,0.000,,,,,,,,0,,,,,0,0.0,,,
245322,Marcus Patterson,DL,Western Kentucky,Conference USA,,,,,,,,,,,,,,0,,0,,0.5,14,,0,5,21,,,,,,,
3116099,Monte Harrison,WR,Arkansas,SEC,,11.0,,,,,,,,1118,,1,,,,,2,,,,00,,,,,1129,,,,14.5
385738,Jacob Johnson,LB,Southern Miss,Sun Belt,,,,,,,,,,,,,,0,,0,,0,0,,0,0,2,,,,,,,
3949586,Jake Taylor,TE,Duke,ACC,,,,,,,,,,14,,,,0,,0,8,0,2,,00,0,2,,,62,,,,7.8
4036672,Alex Smith,P,Georgia Southern,Sun Belt,,,,,,,,,18,63,,54,,,,,,,,0,,,,,,2311,,,42.8,
4038961,Cam McCormick,TE,Miami,ACC,,,,,,,,,,9,,,,,,,6,,,,3,,,,,42,,,,7.0
4040767,Chris Tooley,CB,Florida Atlantic,American Athletic,,,,,,,,,,,,,,0,,0,,0,1,,0,0,2,,,,,,,
4046654,Keenan Pili,LB,Tennessee,SEC,,,,,,,,,,,,,,0,,3,,0,11,,0,1.5,29,,,,,,,
4242373,Bentley Hanshaw,TE,Liberty,Conference USA,,,,,,,,,,21,,,,0,,0,9,0,1,,01,0,1,,,74,,,,8.2
4243265,Aliki Vimahi,DT,Utah,Big 12,,,,,,,,,,,,,,2,,0,,0,4,,0,2.0,7,,,,,,,
4248034,Cam Wilson,DB,Illinois State,MVFC,,,,,,,,,,,,,,0,,0,,0,1,,0,0,1,,,,,,,
4251136,Spencer Curtis,WR,Hawai'i,Mountain West,,0.0,,,,,,,,028,,1,,0,,0,19,0,0,,000,0,1,,,0244,,,,12.8
4251322,Will Whitson,DL,Coastal Carolina,Sun Belt,,,,,,,,,,,,,,0,,2,,2,10,,0,3.5,20,,,,,,,
4259682,Jared Small,LB,Arizona,Big 12,,,,,,,,,,,,,,0,,0,,0,1,,0,0,3,,,,,,,
4291422,Anthony Johnson Jr.,DB,Western Kentucky,Conference USA,,11.0,,,,,,2,,,,,,6,,1,,0,29,,00,4.5,48,,,22,,,,
4360303,David Reese,DL,California,ACC,,,,,,,,,,,,,,2,,1,,4.5,12,,0,7.5,20,,,,,,,
4360324,Darnell Jefferies,DL,Minnesota,Big Ten,,,,,,,,,,,,,,0,,0,,0,1,,0,0,5,,,,,,,
4360387,Ezekiel Holmes,LB,Illinois,Big Ten,,,,,,,,,,,,,,1,,1,,1,3,,0,2.5,6,,,,,,,
4360435,Jacolby Hewitt,WR,Alabama A&M,SWAC,,,1,,,,,,,4519,,,,,,,15,,,,10,,,,,16919,,19.0,,11.3
