playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,position_group_need
184812,Calvin Moore,CB,Cal Poly,Big Sky,,,,,,,,,,8,,,,0.0,,0.0,1.0,0.0,0.0,,0.0,0.0,1.0,,,8,,,,8.0,Defense / Secondary
2094390,Michael Dansby,DB,San José State,Mountain West,,0.5,,,,,,2.0,,,,,,6.0,,0.0,,0.0,30.0,,0.0,0.5,37.0,,,1,,,,,Defense / Secondary
4040767,Chris Tooley,CB,Florida Atlantic,American Athletic,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,2.0,,,,,,,,Defense / Secondary
4248034,Cam Wilson,DB,Illinois State,MVFC,,,,,,,,,,,,,,0.0,,0.0,,0.0,1.0,,0.0,0.0,1.0,,,,,,,,Defense / Secondary
4291422,Anthony Johnson Jr.,DB,Western Kentucky,Conference USA,,11.0,,,,,,2.0,,,,,,6.0,,1.0,,0.0,29.0,,0.0,4.5,48.0,,,22,,,,,Defense / Secondary
102597,Will Rogers,QB,Washington,Big Ten,311.0,,34.0,220.0,,,5.0,7.0,,20,2.0,,0.707,0.0,,0.0,1.0,0.0,1.0,,140.0,0.0,1.0,,,2458-79,7.9,-2.3,,,QB / Passing Offense
233186,Josh Jenkins,QB,Holy Cross,Patriot,1.0,,,0.0,,,,1.0,,,,,0.000,,,,,,,,0.0,,,,,0,0.0,,,,QB / Passing Offense
4360480,Spencer Petras,QB,Utah State,Mountain West,327.0,,36.0,214.0,,,2.0,11.0,,12,1.0,,0.654,,,,0.0,,,,171.0,,,,,231535,7.1,1.0,,,QB / Passing Offense
4360689,Tyler Shough,QB,Louisville,ACC,389.0,,42.0,244.0,,,1.0,6.0,,46,1.0,,0.627,0.0,,0.0,0.0,0.0,0.0,,231.0,0.0,1.0,,,319519,8.2,0.5,,,QB / Passing Offense
4360890,Jordan McCloud,QB,Texas State,Sun Belt,354.0,,67.0,246.0,,,3.0,12.0,,42,1.0,,0.695,0.0,,0.0,0.0,0.0,1.0,,297.0,0.0,1.0,,,2915276,8.2,4.1,,,QB / Passing Offense
107494,Trey Sanders,RB,TCU,Big 12,,,13.0,,,,1.0,,,12,0.0,,,0.0,,0.0,0.0,0.0,1.0,,0.0,0.0,1.0,,,46,,3.5,,,RB / Rushing Offense
4361802,Cameron Carroll,RB,Florida,SEC,,,3.0,,,,,,,4,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,1.0,,,1,,0.3,,,RB / Rushing Offense
4362263,Jalynn Williams,RB,Western Carolina,Southern,,,34.0,,,,,,,917,,,,,,,3.0,,,,10.0,,,,,15106,,3.1,,5.0,RB / Rushing Offense
4362313,O'Shann Allison,RB,Austin Peay,UAC,,,61.0,,,,,,,949,,,,,,,13.0,,,,0.0,,,,,25237,,3.9,,1.9,RB / Rushing Offense
4366640,Solomon Vanhorse,RB,Indiana,Big Ten,,21.0,,,,,,,,3214,,4.0,,0.0,,0.0,1.0,0.0,3.0,,0.0,0.0,3.0,,,8414,,,,14.0,RB / Rushing Offense
