playerId,player,position,team,conference,ATT,AVG,CAR,COMPLETIONS,FGA,FGM,FUM,INT,In 20,LONG,LOST,NO,PCT,PD,PTS,QB HUR,REC,SACKS,SOLO,TB,TD,TFL,TOT,XPA,XPM,YDS,YPA,YPC,YPP,YPR,score_metric
4683813,Jonas Sanker,S,Virginia,ACC,,45.014.0,,,,,0.0,1.0,,14,0.0,1.0,,4.0,,1.0,2.0,2.0,66.0,,100.0,9.0,98.0,,,4514,,,,,76.0
4954445,Dillon Thieneman,DB,Purdue,Big Ten,,7.4,,,,,2.0,,,20,1.0,9.0,,6.0,,0.0,0.0,1.0,70.0,,0.0,4.5,104.0,,,67,,,,,74.5
4877475,Cam'Ron Silmon-Craig,S,Colorado,Big 12,,,,,,,0.0,,,,0.0,,,3.0,,4.0,2.0,2.0,62.0,,1.0,8.0,80.0,,,,,,,,70.0
5083711,Caleb Weaver,S,Sam Houston,Conference USA,,13.0,,,,,0.0,4.0,,,0.0,,,6.0,,1.0,1.0,0.0,62.0,,0.0,2.5,86.0,,,52,,,,,68.5
4695118,Jordan Vincent,S,Utah State,Mountain West,,9.8,,,,,,4.0,,,,,,2.0,,1.0,,0.0,63.0,,0.0,0.5,117.0,,,39,,,,,67.5
4431145,Maxen Hook,S,Toledo,Mid-American,,11.58.0,,,,,0.0,2.0,,8,0.0,1.0,,4.0,,0.0,1.0,0.0,62.0,,0.0,2.0,108.0,,,238,,,,,66.0
4869523,Nick Emmanwori,DB,South Carolina,SEC,,26.8,,,,,,4.0,,,,,,2.0,,0.0,,0.0,54.0,,22.0,3.0,83.0,,,107,,,,,61.0
4912556,Josh Baka,S,Kent State,Mid-American,,,,,,,0.0,,,,0.0,,,5.0,,0.0,1.0,0.0,58.0,,0.0,2.5,90.0,,,,,,,,60.5
5117455,Ty Benefield,DB,Boise State,Mountain West,,6.5,,,,,0.0,2.0,,,0.0,,,3.0,,1.0,2.0,0.0,53.0,,0.0,5.0,73.0,,,13,,,,,60.0
4427763,Antavious Lane,DB,North Carolina,ACC,,,,,,,,,,,,,,2.0,,0.0,,1.0,55.0,,0.0,4.0,73.0,,,,,,,,59.0
