metric,z_score
ScoreQuarter1,-2.033617766345096
OpponentPassingTouchdowns,-1.9755227902352266
QuarterbackSacksDifferential,-1.909057483991439
RedZoneAttempts,-1.8584473039017053
OpponentRedZonePercentage,-1.6241572687028971
FieldGoalAttempts,-1.5987755095957612
PassingYards,-1.566342599833149
TacklesForLossDifferential,-1.5508283018321911
OffensiveYards,-1.534453239960787
TotalScore,-1.4428168387246965
OpponentExtraPointPassingConversions,-1.4373244527014448
FieldGoalsMade,-1.4219743614843847
PassingYardsPerCompletion,-1.4187685470594036
OpponentFourthDownConversions,-1.407232809452885
ThirdDownPercentage,-1.4054976670627681
OpponentPassingCompletions,-1.3352780162722655
OpponentPassingAttempts,-1.333473249767648
KickoffsInEndZone,-1.3215922159064333
Kickoffs,-1.3190355553062763
OpponentPassingDropbacks,-1.2714422198326674
OpponentFumblesForced,-1.2686163448378778
OpponentFirstDownsByPenalty,-1.264794926614592
OpponentPassesDefended,-1.231625379384911
FirstDowns,-1.2246295902777944
TeamID,-1.1257686861984635
GlobalTeamID,-1.1257686861984635
OpponentInterceptionReturns,-1.1188400280864026
PassingInterceptions,-1.1188400280864026
KickoffTouchbacks,-1.0748893809364364
ExtraPointKickingAttempts,-1.0616676626104316
ExtraPointKickingConversions,-1.0563339218958663
Temperature,-1.054758498172526
Score,-1.045984724456458
OpponentFourthDownPercentage,-1.0308437209527423
OpponentScoreQuarter4,-1.0078118403833365
RedZoneConversions,-0.99508332592644
OpponentScoreQuarter3,-0.9677867766008893
OpponentAssistedTackles,-0.9656708180979076
ThirdDownConversions,-0.9278763101053198
OpponentInterceptionReturnYards,-0.9255272609089045
OpponentExtraPointRushingAttempts,-0.9233805168766387
OpponentExtraPointRushingConversions,-0.9233805168766387
OpponentTouchdowns,-0.8930562123339959
OpponentFourthDownAttempts,-0.887950131221559
RushingYardsPerAttempt,-0.8794118579256439
OpponentExtraPointKickingAttempts,-0.8577289157938712
OpponentFieldGoalsHadBlocked,-0.8542421961772492
OpponentFirstDownsByPassing,-0.8509899213789888
OpponentPenaltyYards,-0.8200478757373363
CompletionPercentage,-0.8197729187695174
OpponentOffensivePlays,-0.818643604517685
OpponentInterceptionReturnTouchdowns,-0.8159371450409242
FumbleReturnTouchdowns,-0.8040724087286836
Humidity,-0.803085012892379
OpponentKickReturnLong,-0.8010393478348945
FirstDownsByPassing,-0.7896993800637976
FirstDownsByRushing,-0.782196892968429
OpponentTurnoverDifferential,-0.7762593316993275
PassingTouchdowns,-0.7631241197845308
OpponentFumbleReturnTouchdowns,-0.7268547557869754
ScoreQuarter3,-0.7207410016190061
RushingYards,-0.7180017275088807
Safeties,-0.7094756547606031
ScoreOvertime,-0.7034582598541909
OpponentTakeaways,-0.7000605614916564
Giveaways,-0.7000605614916564
Touchdowns,-0.6967837478455707
OpponentExtraPointKickingConversions,-0.6718285697320893
OffensiveYardsPerPlay,-0.6707310151026928
PasserRating,-0.6548186274579766
ScoreQuarter2,-0.6414502920100074
ExtraPointRushingAttempts,-0.641242710767087
ExtraPointRushingConversions,-0.641242710767087
ExtraPointsHadBlocked,-0.6255432421712243
PuntsHadBlocked,-0.6255432421712243
OpponentExtraPointsHadBlocked,-0.5989253431086903
OverUnder,-0.5985369046770058
OpponentPuntReturnLong,-0.5930709459450133
PuntReturns,-0.5484814586546063
OpponentThirdDownPercentage,-0.5467319426116312
OpponentThirdDownConversions,-0.5386196633327335
InterceptionReturnYards,-0.5187556473588585
TacklesForLossPercentage,-0.5166760204934673
RushingAttempts,-0.5044539438981276
PassesDefended,-0.48835395221891764
FirstDownsByPenalty,-0.4820556406215028
OpponentPuntReturnTouchdowns,-0.4803844614152614
OpponentBlockedKickReturnTouchdowns,-0.4803844614152614
OpponentTwoPointConversionReturns,-0.48038446141526137
RushingTouchdowns,-0.4552703547641198
OpponentRedZoneConversions,-0.45398994507478646
OpponentKickReturnTouchdowns,-0.4527923591472056
KickReturnTouchdowns,-0.4527923591472056
OpponentPunts,-0.4312971719092407
OpponentBlockedKickReturnYards,-0.42990173969426754
FumbleReturnYards,-0.41510930652847944
PuntNetAverage,-0.41470257841100205
TwoPointConversionReturns,-0.40451991747794525
OpponentFirstDowns,-0.3930234017215346
OpponentPassingInterceptions,-0.3786085298331961
InterceptionReturns,-0.3786085298331961
OpponentScore,-0.37781812211569293
QuarterbackHitsDifferential,-0.35599587995850135
OpponentPuntNetYards,-0.35527600680232213
OpponentTimesSackedYards,-0.3259807473942629
SackYards,-0.3259807473942629
OpponentCompletionPercentage,-0.2750384394820787
PassingCompletions,-0.27324737755496986
OpponentPasserRating,-0.2682459343509443
OpponentPuntYards,-0.2572860365143263
